CustomerID,FirstName,LastName,Email,PhoneNumber,Address,DateOfBirth,EmploymentStatus,AnnualIncome
1,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,"26542 Susan Junction Apt. 161, Melanieview, AS 06196",1987-12-31,Employed,23251.4
2,Amanda,Dudley,smiller@example.net,+1-659-931-0341x316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1951-06-14,Self-Employed,51835.94
3,Antonio,Stewart,carl95@example.org,+1-876-772-4238x8496,"710 Eric Estate, Carlsonfurt, MS 78605",2007-06-12,Unemployed,115741.26
4,Allison,Maddox,frazierdanny@example.net,001-645-514-6270x48281,"809 Burns Creek, Natashaport, IA 08093",1952-04-24,Retired,31302.05
5,Ashley,Miller,wcabrera@example.net,001-822-778-2489x63834,"33150 Brianna Avenue Apt. 031, Port Markhaven, IA 37001",1983-07-25,Student,24131.75
6,Jason,Anderson,esanchez@example.com,311.265.6670,"33387 Robert Harbors Suite 317, North Deniseside, MP 02435",2005-06-19,Employed,48422.94
7,Sara,Allison,richardolson@example.com,9264064746,"98050 Breanna Parkway, North Susan, CO 24857",1939-09-24,Retired,98262.43
8,Carlos,Hensley,kwilson@example.org,001-790-691-6998,"46247 Hickman Cliffs Apt. 799, North Amandahaven, KS 17862",2002-11-09,Retired,45848.89
9,Nicole,Suarez,justin78@example.net,698-608-4124x1182,"48740 Cynthia Village Suite 005, Lake Tina, GA 97655",1966-12-25,Retired,74537.58
10,Janice,Hoffman,jonesnicole@example.org,+1-605-798-2620,"PSC 0533, Box 1586, APO AP 98736",1946-01-04,Student,96604.54
11,Sarah,Hancock,nicolejohnson@example.net,563-542-1607x33754,"5414 May Locks, Sheilaville, FM 34738",1947-10-07,Employed,118644.96
12,Sydney,Baker,carlsonmichael@example.com,(798)816-9340x60883,"514 Estrada Islands Suite 482, South Elizabeth, MS 89278",1989-05-05,Unemployed,110758.12
13,Grant,Carroll,akelley@example.com,336-699-5777x3872,"34332 Brandon Mountains Apt. 769, Lake Heather, NM 52884",1952-07-16,Self-Employed,56123.27
14,Diana,Smith,osbornejeffery@example.net,870.983.1727x88957,"PSC 7743, Box 4873, APO AA 58155",1940-05-20,Unemployed,144437.7
15,Justin,Nelson,patricia12@example.org,962.831.6658,"9096 Smith Knoll Suite 668, South Jeffrey, NE 64155",1936-11-05,Self-Employed,33287.34
16,Matthew,Shelton,dramsey@example.org,+1-280-669-9016x272,"5564 King Common, Smithside, AR 46371",1951-02-05,Student,32573.13
17,Casey,Bernard,websterstefanie@example.org,9926327193,"912 Rodriguez Burg, Barbarafurt, MO 94219",1949-03-17,Self-Employed,98484.38
18,Brittany,Rivas,curtisbarton@example.net,+1-819-905-8651x850,"726 Jessica Run Suite 987, Grahamshire, KY 42746",1996-11-26,Employed,114865.13
19,Mariah,Miller,dsanchez@example.net,+1-665-607-5273x545,"36783 Brewer Overpass, Mcguireland, LA 29546",1964-04-01,Retired,36227.4
20,John,Beck,thomas85@example.com,001-485-557-4443x1351,"9894 Marissa Hill Apt. 524, Lake Amandaview, AZ 07647",1975-02-15,Student,30244.03
21,Heidi,Martinez,agarcia@example.net,377-275-2047x1167,"31869 Kimberly Light Suite 749, Torreston, RI 97505",1941-12-21,Self-Employed,127822.61
22,Kathryn,Garrett,donna23@example.org,+1-212-506-7974,"713 French Road Apt. 618, Lake Edward, KY 19144",1939-12-11,Retired,135108.73
23,Gabriel,Parker,scott74@example.net,(248)387-7190x6594,"490 Thomas Run, Moonburgh, OR 57633",1981-01-25,Self-Employed,95055.78
24,Travis,Davis,ricky51@example.org,267-946-8071x54516,"597 Wolf Ford, Andreaport, NV 92022",1970-02-10,Employed,25957.17
25,Anthony,Mccoy,jennifercollins@example.org,+1-661-631-7127,"3782 Lee Rapid Apt. 146, Sarahhaven, KY 00837",1955-05-18,Unemployed,120498.88
26,Kenneth,Matthews,cgrimes@example.net,855.288.6753x3963,"662 Hanna Crossroad Suite 171, Smithberg, MT 86324",2005-07-14,Employed,131191.3
27,Charles,Harrington,matthew61@example.com,+1-386-357-8091x34316,"05045 Jordan Gardens Suite 922, North Chelsea, MS 81727",1984-08-06,Employed,69416.41
28,Tyler,Aguilar,stevenking@example.com,+1-607-548-2175x94647,"Unit 7136 Box 9594, DPO AP 39197",1936-04-30,Student,102638.98
