FirstName,LastName,Age,City,Salary,Status,BankBalance,BankName,StockSymbol,StockPrice,StockPriceOneYearAgo,StockVolume,StockPriceYearAgo,StockPriceSixMonthsAgo,StockPriceThreeMonthsAgo,StockPriceOneMonthAgo
Lucas,Woods,39,Gomezville,84560,Single,2988117.76,Oliver Inc Bank,RKK,938.69,944.64,4921,982.58,797.34,127.8,39.46
Julie,Chase,47,Port Cherylhaven,33938,Single,3395915.0,"Garner, Johnson and Sanchez Bank",tfP,149.15,604.92,62850,894.65,39.09,260.73,369.35
Timothy,Stanton,56,North Matthewside,64383,Single,9958335.5,Edwards LLC Bank,cEV,353.62,590.12,57703,702.0,427.31,537.39,634.34
Dana,Hamilton,59,Robinsonfort,103861,Married,4032312.11,Yu PLC Bank,lWv,277.09,800.05,66908,591.44,251.2,266.57,653.07
Jonathan,Peck,18,Jenniferbury,63878,Married,2993336.76,"Pope, Chung and Burnett Bank",CNI,277.36,980.24,43602,614.66,897.55,847.48,93.06
Paul,Miller,30,Mendozashire,106389,Married,6897391.41,"Munoz, Jensen and Clark Bank",dch,415.1,639.4,84187,935.98,780.38,583.9,814.61
Ray,Hood,23,Richardport,66081,Divorced,8627964.35,Mathews and Sons Bank,qKt,730.43,326.88,24792,320.5,913.46,440.52,707.23
Timothy,Duncan,53,Christopherton,66484,Single,693877.23,Johnson-Hines Bank,Iud,257.29,464.65,32186,471.24,934.54,115.84,53.21
Michael,Harding,59,Mcintyrechester,63537,Married,7165952.11,Williams-Holland Bank,PWp,133.46,317.12,52594,307.04,71.59,553.29,41.74
Jack,Hill,32,Banksmouth,30022,Divorced,5390542.08,Greene PLC Bank,ZLi,374.47,403.19,29725,281.43,634.54,916.03,223.18
Jessica,Pitts,18,Port Benjamin,81538,Married,3671759.41,Mccullough-Gamble Bank,caY,950.74,307.25,34706,822.29,66.44,351.31,147.72
Jose,Baldwin,38,South Saraland,90279,Married,3013170.43,"Anthony, Francis and Dudley Bank",wBk,681.39,209.06,3674,498.73,514.38,80.79,244.31
Michele,Wallace,22,Michaelmouth,83741,Married,5100075.1,Schmidt-Hall Bank,XVv,103.82,326.03,75941,298.79,860.97,166.67,548.71
Catherine,Wright,55,Lisafurt,79067,Single,6173712.82,Moore-Norman Bank,jSq,272.86,303.55,8321,31.22,784.73,968.93,694.15
Stephanie,Wyatt,66,Lake Megan,50074,Divorced,7852770.25,Ortega LLC Bank,wLM,469.79,911.37,96262,437.01,237.22,337.81,642.15
Roy,Johnson,41,New Suzanne,31887,Single,3453642.12,"Miller, Anderson and Bell Bank",biZ,204.55,466.61,12814,798.4,714.75,834.33,606.81
Caroline,Welch,47,Powellton,32231,Married,4002668.16,Williams PLC Bank,noe,915.97,849.32,68504,848.72,350.88,713.48,150.52
Richard,Acosta,67,Port Raymondbury,85090,Divorced,8265541.86,Hanson-Rogers Bank,UyT,755.43,355.75,61415,649.51,190.48,829.91,625.36
Joe,Andrews,65,West Kelly,91437,Married,5958226.27,Mclaughlin Group Bank,OZs,537.64,812.21,83378,701.4,943.19,736.07,955.3
Manuel,Clayton,41,Ryanstad,99701,Divorced,8520166.9,"Anderson, Carey and Fuentes Bank",OHN,275.91,633.89,54875,180.13,993.0,787.14,439.95
Kyle,Moore,66,East Jay,114483,Married,6358158.22,"Smith, Myers and Hill Bank",zbE,853.43,971.79,41015,744.28,119.69,142.63,373.55
Darius,Garcia,19,Schwartzstad,88778,Single,7728874.57,"Lopez, Bishop and Cook Bank",FqX,146.17,893.19,18716,470.22,137.31,420.47,865.51
Emily,Phillips,58,New Mariamouth,116460,Single,1643517.16,Brown-Bird Bank,uBf,495.69,557.69,74438,682.34,785.6,425.82,900.57
Matthew,Barnes,55,Toddview,59797,Single,9927862.15,Lewis-Perez Bank,dsc,196.57,916.57,67026,83.31,162.25,817.27,734.96
Jimmy,Patterson,54,Mccormickfort,37610,Single,1510481.26,Simmons-Padilla Bank,Vtg,971.88,417.56,43765,346.51,445.45,52.88,910.92
Richard,Torres,63,South Julie,44545,Married,2443978.12,Mcgee Inc Bank,hdo,594.82,792.9,78948,754.53,522.83,26.39,670.34
Lindsay,Wallace,29,Cesarport,68742,Divorced,5787490.7,"Norton, Brown and Noble Bank",Xjg,74.8,163.17,38237,515.11,78.66,46.15,177.49
Vanessa,Brown,21,Lynnton,51058,Married,4897660.03,Lopez-Chan Bank,lOI,316.72,456.83,28146,592.91,945.1,178.44,739.76
Kristine,King,35,Port Adrianport,73267,Divorced,8657978.24,Horn-Ross Bank,Ftb,696.59,634.73,33138,385.52,969.7,907.7,665.64
Andrew,Figueroa,47,Scottchester,102355,Married,9856516.13,Williams LLC Bank,DNy,503.02,991.79,85057,849.61,486.6,449.7,906.46
Barry,Meza,39,Gabrielfurt,42798,Married,6461608.09,Davis-Harrison Bank,Nsu,886.64,933.47,92736,489.21,234.15,408.9,876.44
William,Scott,48,North John,101718,Married,4764962.85,"Chambers, Kelley and Oliver Bank",VKn,191.56,892.63,40659,548.64,400.22,684.99,76.61
Melanie,Gibson,26,Kingport,43829,Married,4250692.47,Moore-Bishop Bank,ZNn,904.75,19.5,51186,866.42,375.37,579.39,745.89
Eric,Smith,37,South Markburgh,34389,Single,8435415.56,Butler-Warren Bank,jmq,767.45,247.16,57216,193.07,342.64,393.57,804.3
Olivia,Norris,66,Kimberlychester,68964,Single,177271.39,"Tapia, Crosby and Werner Bank",fHO,404.14,319.17,84284,375.67,159.2,829.25,144.58
Taylor,Chang,27,Lake Stephanie,63780,Divorced,3544611.06,"Taylor, Goodman and Snyder Bank",pXa,55.13,759.2,15431,290.77,972.2,626.38,643.0
Peter,King,35,North David,46133,Divorced,4593575.83,Gill-Lawrence Bank,oqg,29.52,101.05,67959,421.41,904.92,570.83,430.22
Joanne,Mendoza,34,West Ericashire,52638,Divorced,6106425.48,Williams-Robinson Bank,Qiw,622.88,189.4,7773,649.86,900.19,472.81,246.09
Anthony,Lester,34,Darylville,118325,Married,6964203.23,Smith-Lee Bank,ACy,841.26,103.71,33058,751.95,361.04,583.69,553.16
Sydney,Wiley,68,Aaronton,56180,Divorced,516196.43,"Willis, Davenport and Hernandez Bank",dpz,650.96,746.2,36288,21.4,747.41,718.03,178.45
Carl,Johnson,40,Rachelshire,96460,Single,1815881.01,Figueroa PLC Bank,XuO,776.27,833.39,94941,424.56,370.93,311.73,36.14
Zachary,Park,47,Guzmanbury,43008,Divorced,3176466.31,Taylor-Lopez Bank,EAM,312.01,975.34,77009,525.87,626.16,466.8,100.24
Jason,Alexander,39,Alvarezton,94123,Married,7844398.54,Bell LLC Bank,Kbv,571.65,638.21,1372,739.94,682.08,298.43,119.25
Joshua,Rangel,42,South Lisaville,39895,Divorced,4395984.42,Dunn and Sons Bank,uBX,509.49,995.93,7171,997.75,88.04,841.26,483.56
Diana,Copeland,41,East Michaelberg,60849,Single,4831678.38,Mcbride-Gallegos Bank,PYA,196.95,429.13,39703,797.38,776.88,51.63,158.47
Damon,Bridges,54,North Jonathanshire,52288,Single,5862107.23,Lawson-Adams Bank,Qvr,795.46,273.23,97079,520.47,732.34,146.55,753.62
Pamela,Sullivan,68,Tiffanymouth,34439,Divorced,1473170.95,Grimes-Bishop Bank,ZmP,640.37,860.35,57788,351.04,190.45,183.56,54.96
Melissa,Daniels,26,Meganville,33769,Divorced,7330780.04,Owens-Green Bank,oJB,396.34,644.66,86062,207.32,557.21,647.44,187.23
Matthew,Smith,49,Douglastown,113976,Married,9302418.75,Allen-Schmidt Bank,KXH,962.75,380.39,38782,285.69,754.77,832.32,185.9
Timothy,Castillo,33,Popeton,73691,Single,5206831.94,Kim-White Bank,Eke,137.82,395.3,95901,235.23,235.24,66.89,161.79
Kimberly,Boyer,65,Port Catherine,71932,Single,3247635.26,"Walker, Fox and Walker Bank",HxE,748.33,209.17,43320,156.63,407.88,71.39,878.56
Cody,Moran,56,New Kristinaberg,46462,Divorced,5554821.88,Smith-Lin Bank,dTs,452.0,212.31,7343,366.26,56.91,511.48,24.41
Jennifer,Arroyo,43,Sandersborough,61430,Married,320287.59,Reeves and Sons Bank,uSC,148.33,48.02,27331,791.28,919.21,14.01,348.93
Jason,Fleming,44,North Benjamintown,83811,Divorced,5330104.75,"Brandt, Farmer and Spencer Bank",wIb,933.19,471.51,89876,319.08,484.15,207.1,277.4
Mathew,Woods,30,Lake Amandaside,46821,Married,9631923.79,Hammond PLC Bank,JLS,291.28,534.26,12043,717.46,170.5,894.32,908.4
